Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,Accident_severity,Sex_of_driver_encoded,Owner_of_vehicle_Organization,Owner_of_vehicle_Other,Owner_of_vehicle_Owner,Accident_severity_encoded,Time_seconds,Time_binned,Number_of_vehicles_scaled,Number_of_casualties_scaled,Number_of_casualties_decimal_scaled,Time_scaled
7:58:00,Thursday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury,1,0.0,0.0,1.0,0.0,28680,Pagi,0.16666666666666666,-0.5442638586190858,0.1,0.2868
0:31:00,Friday,Over 51,Male,Junior high school,Employee,Above 10yr,Public (> 45 seats),Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury,1,0.0,0.0,1.0,0.0,1860,Malam,0.16666666666666666,-0.5442638586190858,0.1,0.0186
0:31:00,Friday,18-30,Male,High school,Employee,1-2yr,Automobile,Owner,1-2yr,No defect,Residential areas,Undivided Two way,Steep grade downward with mountainous terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Moving Backward,Passenger,Female,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury,1,0.0,0.0,1.0,0.0,1860,Malam,0.16666666666666666,-0.5442638586190858,0.1,0.0186
15:43:00,Thursday,31-50,Male,Junior high school,Owner,5-10yr,Automobile,Owner,Unknown,No defect, Church areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury,1,0.0,0.0,1.0,0.0,56580,Sore,0.0,-0.5442638586190858,0.1,0.5658
20:40:00,Friday,Unknown,Female,Junior high school,Employee,1-2yr,Automobile,Owner,2-5yrs,No defect,Other,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury,0,0.0,0.0,1.0,0.0,74400,Malam,0.0,-0.5442638586190858,0.1,0.744
20:39:00,Friday,Over 51,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,5-10yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Passenger,Female,Over 51,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury,1,0.0,0.0,1.0,0.0,74340,Malam,0.0,-0.5442638586190858,0.1,0.7434
9:16:00,Friday,31-50,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,Over 51,3,Driver,Normal,Not a Pedestrian,Driving to the left,Slight Injury,1,0.0,0.0,1.0,0.0,33360,Pagi,0.16666666666666666,-0.5442638586190858,0.1,0.3336
9:16:00,Friday,31-50,Male,Elementary school,Employee,2-5yr,Lorry (41?100Q),Owner,Unknown,No defect,  Recreational areas,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury,1,0.0,0.0,1.0,0.0,33360,Pagi,0.16666666666666666,-0.5442638586190858,0.1,0.3336
12:45:00,Saturday,Over 51,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Overtaking,Slight Injury,1,0.0,0.0,1.0,0.0,45900,Siang,0.0,-0.5442638586190858,0.1,0.459
14:50:00,Saturday,Over 51,Male,Elementary school,Employee,5-10yr,Stationwagen,Owner,1-2yr,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,4,2,Other,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,1,0.0,0.0,1.0,0.0,53400,Sore,0.5,0.44864884805439376,0.2,0.534
14:50:00,Saturday,Over 51,Male,Junior high school,Owner,1-2yr,Public (12 seats),Governmental,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,4,2,Other,Driver or rider,Female,31-50,3,Driver,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury,1,0.0,0.0,0.0,0.0,53400,Sore,0.5,0.44864884805439376,0.2,0.534
14:50:00,Saturday,Over 51,Male,Junior high school,Employee,5-10yr,Public (12 seats),Owner,Unknown,No defect,Office areas,One way,Tangent road with flat terrain,Crossing,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,4,2,Going straight,Driver or rider,Male,18-30,2,Self-employed,Normal,Not a Pedestrian,Moving Backward,Slight Injury,1,0.0,0.0,1.0,0.0,53400,Sore,0.5,0.44864884805439376,0.2,0.534
14:50:00,Saturday,31-50,Male,Unknown,Other,5-10yr,Automobile,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,4,2,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury,1,0.0,0.0,1.0,0.0,53400,Sore,0.5,0.44864884805439376,0.2,0.534
15:26:00,Saturday,18-30,Male,High school,Employee,2-5yr,Public (12 seats),Owner,Unknown,No defect, Church areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Pedestrian,Female,Under 18,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury,1,0.0,0.0,1.0,0.0,55560,Sore,0.16666666666666666,0.44864884805439376,0.2,0.5556
15:26:00,Saturday,Over 51,Male,Junior high school,Employee,1-2yr,Public (12 seats),Owner,Unknown,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Other,2,2,Going straight,Passenger,Female,31-50,3,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury,1,0.0,0.0,1.0,0.0,55560,Sore,0.16666666666666666,0.44864884805439376,0.2,0.5556
16:15:00,Sunday,18-30,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,1,0.0,0.0,1.0,0.0,58500,Sore,0.16666666666666666,-0.5442638586190858,0.1,0.585
16:15:00,Sunday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Earth roads,Wet or damp,Daylight,Normal,Collision with roadside objects,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury,1,0.0,0.0,1.0,0.0,58500,Sore,0.16666666666666666,-0.5442638586190858,0.1,0.585
2:40:00,Sunday,18-30,Male,Junior high school,Employee,No Licence,Lorry (41?100Q),Owner,Unknown,No defect,Other,other,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Getting off,Driver or rider,Male,18-30,3,Other,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury,1,0.0,0.0,1.0,0.0,9600,Malam,0.16666666666666666,-0.5442638586190858,0.1,0.096
2:40:00,Sunday,Unknown,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury,1,0.0,0.0,1.0,0.0,9600,Malam,0.16666666666666666,-0.5442638586190858,0.1,0.096
18:01:00,Monday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,2-5yrs,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury,1,0.0,0.0,1.0,0.0,64860,Malam,0.16666666666666666,-0.5442638586190858,0.1,0.6486
18:01:00,Monday,Unknown,Female,Junior high school,Employee,5-10yr,Stationwagen,Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury,0,0.0,0.0,1.0,0.0,64860,Malam,0.16666666666666666,-0.5442638586190858,0.1,0.6486
2:02:00,Tuesday,31-50,Male,High school,Employee,2-5yr,Automobile,Owner,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury,1,0.0,0.0,1.0,0.0,7320,Malam,0.0,-0.5442638586190858,0.1,0.0732
16:22:00,Monday,31-50,Male,High school,Owner,2-5yr,Automobile,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Passenger,Female,Under 18,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury,1,0.0,0.0,1.0,0.0,58920,Sore,0.0,-0.5442638586190858,0.1,0.5892
13:10:00,Wednesday,Unknown,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury,1,0.0,0.0,1.0,0.0,47400,Siang,0.0,-0.5442638586190858,0.1,0.474
9:17:00,Tuesday,31-50,Male,Junior high school,Owner,Above 10yr,Stationwagen,Owner,Unknown,No defect,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Moving Backward,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Overtaking,Slight Injury,1,0.0,0.0,1.0,0.0,33420,Pagi,0.0,-0.5442638586190858,0.1,0.3342
12:39:00,Tuesday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,5-10yrs,No defect, Church areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury,1,0.0,0.0,1.0,0.0,45540,Siang,0.0,-0.5442638586190858,0.1,0.4554
10:35:00,Tuesday,31-50,Male,Elementary school,Employee,2-5yr,Other,Owner,Unknown,No defect,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Other,Pedestrian,Female,31-50,2,Driver,Normal,Crossing from driver's nearside,Driving under the influence of drugs,Serious Injury,1,0.0,0.0,1.0,1.0,38100,Siang,0.0,-0.5442638586190858,0.1,0.381
14:23:00,Tuesday,Unknown,Female,Junior high school,Employee,2-5yr,Other,Owner,2-5yrs,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury,0,0.0,0.0,1.0,0.0,51780,Sore,0.0,-0.5442638586190858,0.1,0.5178
4:48:00,Wednesday,31-50,Male,Unknown,Employee,Above 10yr,Automobile,Owner,1-2yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,Over 51,3,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury,1,0.0,0.0,1.0,0.0,17280,Pagi,0.16666666666666666,-0.5442638586190858,0.1,0.1728
4:48:00,Wednesday,31-50,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,5-10yrs,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,18-30,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury,1,0.0,0.0,1.0,0.0,17280,Pagi,0.16666666666666666,-0.5442638586190858,0.1,0.1728
15:17:00,Wednesday,Unknown,Female,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,Above 10yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Earth roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,Passenger,Female,18-30,3,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury,0,0.0,0.0,1.0,0.0,55020,Sore,0.0,-0.5442638586190858,0.1,0.5502
15:30:00,Wednesday,31-50,Male,Elementary school,Employee,Below 1yr,Lorry (41?100Q),Owner,1-2yr,No defect,Other,other,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Overturning,Slight Injury,1,0.0,0.0,1.0,0.0,55800,Sore,0.16666666666666666,0.44864884805439376,0.2,0.558
15:30:00,Wednesday,31-50,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,2-5yrs,No defect,Office areas,One way,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Moving Backward,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury,1,0.0,0.0,1.0,0.0,55800,Sore,0.16666666666666666,0.44864884805439376,0.2,0.558
15:30:00,Wednesday,Unknown,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury,1,0.0,0.0,1.0,0.0,55800,Sore,0.16666666666666666,0.44864884805439376,0.2,0.558
18:55:00,Thursday,31-50,Male,Junior high school,Owner,5-10yr,Public (13?45 seats),Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Pedestrian,Female,18-30,3,Driver,Normal,Crossing from driver's nearside,Moving Backward,Serious Injury,1,0.0,0.0,1.0,1.0,68100,Malam,0.0,-0.5442638586190858,0.1,0.681
2:44:00,Saturday,Unknown,Male,High school,Owner,5-10yr,Public (13?45 seats),Organization,2-5yrs,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Female,18-30,3,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury,1,1.0,0.0,0.0,0.0,9840,Malam,0.0,-0.5442638586190858,0.1,0.0984
1:00:00,Saturday,Unknown,Female,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury,0,0.0,0.0,1.0,0.0,3600,Malam,0.0,-0.5442638586190858,0.1,0.036
23:35:00,Thursday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Governmental,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Going straight,Pedestrian,Female,31-50,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury,1,0.0,0.0,0.0,0.0,84900,Malam,0.16666666666666666,-0.5442638586190858,0.1,0.849
23:35:00,Thursday,Unknown,Male,Elementary school,Employee,5-10yr,Public (12 seats),Owner,Unknown,No defect,Office areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury,1,0.0,0.0,1.0,0.0,84900,Malam,0.16666666666666666,-0.5442638586190858,0.1,0.849
3:40:00,Saturday,31-50,Male,Junior high school,Employee,2-5yr,Other,Governmental,Below 1yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,1,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Overtaking,Slight Injury,1,0.0,0.0,0.0,0.0,13200,Pagi,0.0,-0.5442638586190858,0.1,0.132
11:30:00,Saturday,31-50,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,1,0.0,0.0,1.0,0.0,41400,Siang,0.16666666666666666,-0.5442638586190858,0.1,0.414
11:30:00,Saturday,Over 51,Male,Elementary school,Employee,2-5yr,Automobile,Owner,Unknown,No defect, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,31-50,3,Driver,Normal,Crossing from driver's nearside,Changing lane to the right,Slight Injury,1,0.0,0.0,1.0,0.0,41400,Siang,0.16666666666666666,-0.5442638586190858,0.1,0.414
23:15:00,Saturday,18-30,Male,Junior high school,Employee,2-5yr,Other,Owner,Unknown,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury,1,0.0,0.0,1.0,0.0,83700,Malam,0.16666666666666666,-0.5442638586190858,0.1,0.837
23:15:00,Saturday,18-30,Male,Junior high school,Employee,2-5yr,Motorcycle,Owner,2-5yrs,No defect,Residential areas,Undivided Two way,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury,1,0.0,0.0,1.0,0.0,83700,Malam,0.16666666666666666,-0.5442638586190858,0.1,0.837
2:31:00,Sunday,Unknown,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Other,Pedestrian,Male,31-50,3,Driver,Normal,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing)",Moving Backward,Slight Injury,1,0.0,0.0,1.0,0.0,9060,Malam,0.0,-0.5442638586190858,0.1,0.0906
14:30:00,Tuesday,Over 51,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury,1,0.0,0.0,1.0,0.0,52200,Sore,0.16666666666666666,-0.5442638586190858,0.1,0.522
14:30:00,Tuesday,Unknown,Female,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,1-2yr,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury,0,0.0,0.0,1.0,0.0,52200,Sore,0.16666666666666666,-0.5442638586190858,0.1,0.522
14:30:00,Thursday,Unknown,Female,Junior high school,Owner,5-10yr,Automobile,Owner,Above 10yr,No defect, Outside rural areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,Under 18,3,Employee,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury,0,0.0,0.0,1.0,0.0,52200,Sore,0.0,-0.5442638586190858,0.1,0.522
11:30:00,Thursday,31-50,Male,Junior high school,Employee,2-5yr,Public (> 45 seats),Owner,Above 10yr,No defect, Church areas,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,No junction,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving at high speed,Slight Injury,1,0.0,0.0,1.0,0.0,41400,Siang,0.0,-0.5442638586190858,0.1,0.414
11:25:00,Friday,31-50,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,other,Tangent road with mountainous terrain and,Y Shape,Gravel roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,18-30,3,Other,Normal,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,1,0.0,0.0,1.0,0.0,41100,Siang,0.16666666666666666,-0.5442638586190858,0.1,0.411
11:25:00,Friday,Unknown,Male,Junior high school,Employee,1-2yr,Public (> 45 seats),Owner,Above 10yr,No defect, Church areas,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury,1,0.0,0.0,1.0,0.0,41100,Siang,0.16666666666666666,-0.5442638586190858,0.1,0.411
22:00:00,Saturday,31-50,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,other,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Moving Backward,Driver or rider,Female,18-30,3,Self-employed,Normal,Not a Pedestrian,Driving carelessly,Slight Injury,1,0.0,0.0,1.0,0.0,79200,Malam,0.16666666666666666,-0.5442638586190858,0.1,0.792
22:00:00,Saturday,Unknown,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Governmental,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Employee,Normal,Not a Pedestrian,No distancing,Slight Injury,1,0.0,0.0,0.0,0.0,79200,Malam,0.16666666666666666,-0.5442638586190858,0.1,0.792
15:30:00,Wednesday,Under 18,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,1-2yr,No defect,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,18-30,3,Self-employed,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury,1,0.0,0.0,1.0,0.0,55800,Sore,0.16666666666666666,-0.5442638586190858,0.1,0.558
15:30:00,Wednesday,Under 18,Male,Junior high school,Employee,2-5yr,Public (12 seats),Owner,Below 1yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,Under 18,2,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury,1,0.0,0.0,1.0,0.0,55800,Sore,0.16666666666666666,-0.5442638586190858,0.1,0.558
9:57:00,Tuesday,31-50,Male,Junior high school,Employee,1-2yr,Public (12 seats),Owner,Unknown,No defect,Office areas,other,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury,1,0.0,0.0,1.0,0.0,35820,Pagi,0.16666666666666666,-0.5442638586190858,0.1,0.3582
9:57:00,Tuesday,Unknown,Male,Elementary school,Employee,5-10yr,Stationwagen,Owner,Unknown,No defect,Rural village areasOffice areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury,1,0.0,0.0,1.0,0.0,35820,Pagi,0.16666666666666666,-0.5442638586190858,0.1,0.3582
18:12:00,Tuesday,31-50,Male,Junior high school,Owner,Below 1yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Pedestrian,Female,31-50,2,Driver,Normal,Not a Pedestrian,Overtaking,Slight Injury,1,0.0,0.0,1.0,0.0,65520,Malam,0.0,-0.5442638586190858,0.1,0.6552
